,Symbol,RD_Spend_person
0,63.0,179086.8609596666
1,157.0,109992.53381363062
2,338.0,167655.63675779288
3,410.0,12750.432178279974
4,528.0,65178.19927424037
5,550.0,130989.82668379767
6,570.0,22000.45723255814
7,584.0,87556.81611056268
8,670.0,288808.25636363635
9,687.0,348077.7026190476
10,725.0,134551.8253841303
11,816.0,14028.92068027211
12,837.0,37312.13186716516
13,877.0,10593.46363951473
14,901.0,60408.27833721834
15,903.0,183532.93474088292
16,913.0,38529.114460539466
17,988.0,49207.33320041353
18,2006.0,38789.58447346251
19,2017.0,57640.5279618192
20,2031.0,33525.85563392108
21,2049.0,262532.8888229927
22,2058.0,17762.821592039803
23,2077.0,40901.5080861244
24,2079.0,48073.5751511559
25,2097.0,47171.909232009675
26,2115.0,107701.71277683134
27,2121.0,84834.87735006974
28,2129.0,124377.79159127195
29,2156.0,57556.62838256896
30,2176.0,44467.71126101322
31,2185.0,19823.141370470792
32,2196.0,49158.79332184403
33,2202.0,173711.0777814976
34,2204.0,92847.03284012992
35,2214.0,145747.57054545457
36,2230.0,205174.7081458792
37,2236.0,204584.82237516475
38,2241.0,33933.74711043264
39,2255.0,66426.87664835164
40,2273.0,28301.541683044492
41,2279.0,107790.9337905237
42,2403.0,32576.135733082705
43,2405.0,278754.43803236797
44,2414.0,106657.54810554803
45,2459.0,50431.70661492645
46,2491.0,68495.75924906132
47,2520.0,73422.93715231789
48,2527.0,82950.10744071954
49,2534.0,91289.64545454545
50,2594.0,36748.47482479032
51,2685.0,52431.85964015152
52,2698.0,62133.837228813565
53,2747.0,115391.83951277481
54,2829.0,134336.98823920265
55,2833.0,41399.2111769616
56,300007.0,55083.451865518655
57,300024.0,100385.18817723184
58,300053.0,247732.70204991088
59,300076.0,49082.17414507772
60,300077.0,210841.59533333333
61,300097.0,68007.43279495991
62,300101.0,96992.67347880299
63,300102.0,42269.65453166477
64,300114.0,23511.4471655545
65,300115.0,38852.114847727484
66,300118.0,106639.55623349549
67,300124.0,76280.216324893
68,300139.0,102855.84282051283
69,300153.0,53328.10258893281
70,300183.0,161127.79696356275
71,300184.0,33919.358648648646
72,300193.0,63550.80703982777
73,300213.0,144235.85776470587
74,300223.0,235800.8642585551
75,300257.0,26431.95033130699
76,300259.0,53527.38094287681
77,300286.0,56602.7592688172
78,300293.0,39013.48835324232
79,300298.0,67130.84266997167
80,300303.0,47143.40944206009
81,300323.0,57067.10640616694
82,300327.0,373156.67741046834
83,300335.0,30264.170600358422
84,300349.0,84081.83310810811
85,300352.0,87121.30928677563
86,300354.0,34202.9598490566
87,300356.0,62525.51709125475
88,300370.0,57345.599840823976
89,300410.0,70101.09878682843
90,300458.0,479048.34520325204
91,300466.0,44792.1550379107
92,300474.0,162053.56390041494
93,300490.0,52345.10302188054
94,300493.0,143963.28556886228
95,300503.0,40310.8676802974
96,300543.0,30662.194367541764
97,300603.0,54308.328013856815
98,300607.0,40319.27176470588
99,300613.0,575710.586307054
100,300667.0,50507.990704697986
101,300672.0,300498.9431102362
102,300680.0,35598.51775729647
103,300701.0,13668.282314049586
104,300708.0,43148.417684310014
105,300757.0,71946.99666003976
106,300772.0,168909.43957219252
107,300782.0,634313.0023041475
108,600031.0,254693.0081300813
109,600099.0,11868.859685314686
110,600151.0,136582.3353870458
111,600171.0,331660.6938511327
112,600178.0,35755.039434042556
113,600206.0,78818.31911341853
114,600288.0,79684.82930327869
115,600320.0,104951.48143891507
116,600392.0,103754.20782013684
117,600438.0,42339.52164163317
118,600460.0,75714.63671111112
119,600475.0,52402.985698038094
120,600487.0,81298.70561710182
121,600537.0,61875.816373626374
122,600545.0,115870.74006856221
123,600560.0,123873.30754342431
124,600587.0,26194.37658045977
125,600588.0,95185.78941578369
126,600590.0,150617.02483682585
127,600699.0,61541.94180963163
128,600761.0,65781.81939620625
129,600808.0,32284.602768984325
130,600815.0,31982.945184439974
131,600841.0,113442.42891692955
132,600853.0,2319.015780285664
133,600862.0,64006.570863509754
134,600875.0,108778.15236175116
135,600877.0,101300.59473429952
136,600879.0,37462.231019594816
137,600893.0,18335.322019989777
138,601012.0,51015.43236090409
139,601558.0,32492.441265270503
140,601727.0,121648.87307236061
141,603005.0,139844.42440408628
142,603011.0,32411.23874673629
143,603015.0,77055.54392621871
144,603023.0,49320.82080645161
145,603025.0,141817.88647959183
146,603100.0,53861.3926746167
147,603109.0,20234.648352201257
148,603158.0,20064.497757330006
149,603160.0,664855.9827479975
150,603178.0,51117.635326315794
151,603185.0,25803.34999374609
152,603203.0,38570.26439834025
153,603218.0,44126.06042414355
154,603286.0,20008.046229116946
155,603298.0,85794.85489117436
156,603338.0,70182.71366134752
157,603501.0,591370.0331588133
158,603556.0,71864.98814463544
159,603586.0,17950.936126696834
160,603656.0,44814.49930357143
161,603766.0,43059.43321666479
162,603819.0,63976.31004608295
163,603893.0,426520.0500687758
164,603960.0,70118.93330042313
165,603966.0,32533.648130008907
166,603986.0,442502.42201405147
167,688002.0,129005.69430894309
168,688008.0,798967.5511976047
169,688090.0,64824.91955284553
170,688111.0,264131.3015880018
171,688123.0,384718.13286666665
172,688368.0,322379.7603809524
173,600027.0,
174,600890.0,
