,Symbol,RD_person_equity
0,63.0,932341922.0
1,157.0,1250284888.0
2,528.0,34924700.0
3,687.0,4310900.0
4,725.0,905093500.0
5,816.0,16100000.0
6,2017.0,10680880.0
7,2031.0,7350000.0
8,2079.0,15295736.0
9,2097.0,90718000.0
10,2115.0,16241000.0
11,2121.0,7195000.0
12,2176.0,50110000.0
13,2196.0,11814000.0
14,2230.0,386872330.0
15,2236.0,685563166.0
16,2241.0,60417000.0
17,2255.0,18080000.0
18,2273.0,10439000.0
19,2279.0,44149000.0
20,2405.0,197154493.0
21,2459.0,38186600.0
22,2491.0,9375000.0
23,2527.0,35100000.0
24,2534.0,18355000.0
25,2747.0,63517334.0
26,2829.0,11836400.0
27,2833.0,3179000.0
28,300007.0,4234000.0
29,300077.0,41780000.0
30,300097.0,21770176.0
31,300101.0,10415000.0
32,300102.0,11350000.0
33,300114.0,2174650.0
34,300115.0,32028500.0
35,300118.0,55080100.0
36,300124.0,480939662.99999994
37,300183.0,60706400.0
38,300184.0,9796000.0
39,300193.0,53384350.0
40,300213.0,14085874.0
41,300223.0,10136000.0
42,300259.0,2941000.0
43,300286.0,24545925.0
44,300298.0,10190644.0
45,300303.0,98723290.0
46,300323.0,17754875.0
47,300327.0,17761507.0
48,300335.0,25954000.0
49,300349.0,13011780.0
50,300354.0,5390000.0
51,300356.0,18197500.0
52,300370.0,38832902.0
53,300410.0,55278805.0
54,300458.0,6081000.0
55,300474.0,14441200.0
56,300490.0,6776000.0
57,300503.0,4739270.0
58,300543.0,5157100.0
59,300603.0,11039853.0
60,300607.0,3900000.0
61,300613.0,5616700.0
62,300667.0,1551000.0
63,300672.0,4540050.0
64,300708.0,8565000.0
65,600031.0,1811887546.0
66,600171.0,12347400.0
67,600206.0,31503200.0
68,600475.0,13990000.0
69,600588.0,425025835.0
70,600590.0,26949918.0
71,600875.0,98709398.0
72,601012.0,117517700.0
73,601727.0,381471000.0
74,603005.0,19140000.0
75,603011.0,20408000.0
76,603015.0,12920000.0
77,603025.0,6612000.0
78,603158.0,8424000.0
79,603160.0,79135802.0
80,603178.0,4804000.0
81,603185.0,4878000.0
82,603203.0,11383970.0
83,603218.0,25435700.0
84,603501.0,97746752.0
85,603556.0,32423600.0
86,603586.0,15690000.0
87,603656.0,3535000.0
88,603766.0,52432200.0
89,603819.0,2084000.0
90,603893.0,10680000.0
91,603966.0,5156000.0
92,603986.0,24760073.0
93,688002.0,4360000.0
94,688008.0,20700000.0
95,688365.0,1589900.0
96,688368.0,5421200.0
97,688508.0,905000.0
98,688777.0,18970000.0
