,Symbol,Patents_ratio
0,63,0.23022188726087825
1,157,0.007891295192073239
2,338,0.04233812869904462
3,410,0.0006428302263205728
4,528,0.008378959501695742
5,550,0.014740762086316583
6,570,0.0005319974286790947
7,584,0.00026599871433954735
8,725,0.34932281160641054
9,816,0.0022831556314144483
10,837,0.00037683151198102544
11,901,0.002859486179150134
12,903,0.002061490036131492
13,913,0.0021944893933012657
14,2006,0.0015959922860372842
15,2017,0.002815153060093543
16,2031,0.0008423292620752333
17,2079,0.001374326690754328
18,2097,0.002637820583867178
19,2115,0.0011969942145279632
20,2121,0.005541639882073904
21,2129,0.00024383215481125174
22,2156,0.0023939884290559263
23,2176,2.2166559528295615e-05
24,2185,0.0005319974286790947
25,2196,0.0005984971072639816
26,2202,0.008024294549243012
27,2204,0.003901314476980028
28,2214,0.0003324983929244342
29,2230,0.013033937002637821
30,2236,0.02925985857735021
31,2241,0.056347394320927446
32,2255,0.001440826369339215
33,2273,0.000975328619245007
34,2279,4.433311905659123e-05
35,2403,0.008534125418393811
36,2405,0.0030146520958482035
37,2414,0.0006206636667922771
38,2459,0.00015516591669806928
39,2491,0.003834814798395141
40,2520,0.00022166559528295613
41,2527,0.002704320262452065
42,2534,0.0008201627025469377
43,2594,0.12018708576241882
44,2685,0.00042116463103761666
45,2698,0.0014186598098109193
46,2747,0.0009088289406601201
47,2829,0.00015516591669806928
48,2833,0.0006206636667922771
49,300007,0.0015959922860372842
50,300024,0.011304945359430763
51,300053,0.0006428302263205728
52,300076,0.0005984971072639816
53,300077,0.0031698180125462726
54,300097,0.0005763305477356859
55,300101,0.0005098308691507991
56,300102,0.002682153702923769
57,300114,0.001374326690754328
58,300115,0.005630306120187086
59,300118,0.0011526610954713718
60,300124,0.0026599871433954734
61,300139,0.00019949903575466053
62,300153,0.0036353157626404804
63,300183,0.0007314964644337552
64,300193,0.0010639948573581894
65,300213,0.001374326690754328
66,300223,0.0022609890718861526
67,300259,0.001374326690754328
68,300293,0.00028816527386784296
69,300298,0.002815153060093543
70,300303,0.0015959922860372842
71,300323,0.0005763305477356859
72,300327,0.00035466495245272984
73,300335,0.0006206636667922771
74,300349,0.006561301620375501
75,300352,0.003723982000753663
76,300354,0.00028816527386784296
77,300356,0.00044333119056591227
78,300370,0.0008866623811318245
79,300410,0.0038791479174517325
80,300458,0.004078646953206393
81,300466,0.0005763305477356859
82,300474,0.00037683151198102544
83,300490,0.0015294926074523973
84,300493,0.00026599871433954735
85,300503,0.0059849710726398156
86,300543,0.0005541639882073904
87,300603,2.2166559528295615e-05
88,300607,0.003502316405470707
89,300613,0.0005984971072639816
90,300667,0.00026599871433954735
91,300672,0.004743643739055261
92,300680,0.002593487464810587
93,300701,0.0005763305477356859
94,300708,0.0005541639882073904
95,300757,0.0020836565956597877
96,300772,0.0031254848934896815
97,300782,0.00037683151198102544
98,600027,4.433311905659123e-05
99,600031,0.0005763305477356859
100,600099,8.866623811318246e-05
101,600151,0.0006649967858488683
102,600171,0.0021944893933012657
103,600178,0.002061490036131492
104,600206,0.00013299935716977367
105,600288,0.00011083279764147807
106,600320,0.011659610311883492
107,600438,0.0022166559528295614
108,600460,0.003546649524527298
109,600475,0.002792986500565247
110,600487,0.006007137632168111
111,600560,0.0010196617383015983
112,600587,0.009797619311506661
113,600588,0.0033914836078292286
114,600590,0.0055638064416021985
115,600761,0.022476891361691752
116,600806,0.0005763305477356859
117,600808,0.02187839425442777
118,600815,0.0011969942145279632
119,600841,0.0005319974286790947
120,600853,0.00044333119056591227
121,600862,0.00011083279764147807
122,600875,2.2166559528295615e-05
123,600877,0.0005541639882073904
124,600879,8.866623811318246e-05
125,600893,0.011460111276128832
126,601012,0.002061490036131492
127,601558,0.00011083279764147807
128,601727,0.0075809633586771
129,603005,0.002748653381508656
130,603011,0.000687163345377164
131,603015,0.0005098308691507991
132,603023,0.00013299935716977367
133,603025,0.001773324762263649
134,603100,0.0034136501673575244
135,603109,0.0005763305477356859
136,603158,0.0004876643096225035
137,603160,0.019307073349145477
138,603178,0.0008423292620752333
139,603185,0.0006206636667922771
140,603203,0.0021501562742446746
141,603218,0.00028816527386784296
142,603286,0.0008423292620752333
143,603298,0.004743643739055261
144,603338,0.00126349389311285
145,603501,0.00013299935716977367
146,603556,2.2166559528295615e-05
147,603586,0.002748653381508656
148,603656,0.0032584842506594553
149,603766,0.009664619954336887
150,603819,0.001662491964622171
151,603893,0.003324983929244342
152,603966,0.0024161549885842216
153,603986,0.00343581672688582
154,688002,0.0011083279764147807
155,688008,0.00011083279764147807
156,688090,0.0015073260479241018
157,688123,0.00019949903575466053
158,688165,0.00037683151198102544
159,688365,6.649967858488684e-05
160,688368,0.0015738257265089884
