,Symbol,inventions_ratio
0,63,0.32123470272700994
1,157,0.008672469726656602
2,338,0.03918671506118909
3,410,0.00035332284071563935
4,528,0.0075161404297690556
5,550,0.007612501204509684
6,570,9.636077474062892e-05
7,584,0.00016060129123438152
8,725,0.43237079626120195
9,816,0.0008672469726656603
10,837,0.00016060129123438152
11,901,0.0032441460829345068
12,903,0.0006102849066906498
13,913,0.0005460443901968972
14,2006,0.0008993672309125366
15,2017,0.0031477853081938777
16,2031,0.0006745254231844024
17,2079,0.0012848103298750521
18,2097,0.0017666142035781967
19,2115,0.00147753187935631
20,2121,0.0035011081489095173
21,2129,9.636077474062892e-05
22,2156,0.0031156650499470015
23,2185,0.00022484180772813414
24,2196,0.0002890823242218867
25,2202,0.006713133973597148
26,2204,0.0027623422092313624
27,2214,0.00019272154948125783
28,2230,0.014261394661613079
29,2236,0.027944624674782384
30,2241,0.05980792085568368
31,2255,0.0014132913628625574
32,2273,0.0007066456814312787
33,2279,6.424051649375261e-05
34,2403,3.212025824687631e-05
35,2405,0.004207753830340796
36,2414,0.0004496836154562683
37,2491,0.002858702983971991
38,2520,6.424051649375261e-05
39,2527,0.0027944624674782386
40,2534,0.0005139241319500209
41,2594,0.11081489095172325
42,2685,0.0002890823242218867
43,2698,0.0011884495551344233
44,2747,0.0012205698133812995
45,2829,0.00016060129123438152
46,2833,0.00025696206597501046
47,300007,0.0011242090386406707
48,300024,0.014389875694600585
49,300053,0.0005460443901968972
50,300076,0.0006102849066906498
51,300077,0.004304114605081425
52,300097,0.00022484180772813414
53,300101,0.0005460443901968972
54,300102,0.0035332284071563935
55,300114,0.0014454116211094338
56,300115,0.005621045193203353
57,300118,0.0006102849066906498
58,300124,0.0017987344618250732
59,300139,0.00016060129123438152
60,300153,0.0005460443901968972
61,300183,0.0006424051649375261
62,300193,0.00035332284071563935
63,300213,0.0017344939453313205
64,300223,0.0031799055664407543
65,300259,0.00012848103298750523
66,300293,0.00012848103298750523
67,300298,0.0019272154948125782
68,300303,0.0011884495551344233
69,300323,0.000835126714418784
70,300327,0.0005139241319500209
71,300335,0.00032120258246876303
72,300349,0.0031477853081938777
73,300352,0.00529984261073459
74,300354,0.00025696206597501046
75,300356,0.00035332284071563935
76,300370,0.0005460443901968972
77,300410,0.0034368676324157644
78,300458,0.005878007259178364
79,300466,0.000417563357209392
80,300474,0.00048180387370314455
81,300490,0.0011242090386406707
82,300493,0.00019272154948125783
83,300503,0.005621045193203353
84,300543,0.00032120258246876303
85,300607,0.0031799055664407543
86,300613,0.0008672469726656603
87,300667,0.0002890823242218867
88,300672,0.006648893457103395
89,300680,0.0017987344618250732
90,300701,0.00019272154948125783
91,300708,0.0006424051649375261
92,300757,0.0014132913628625574
93,300772,0.0026659814344907333
94,300782,0.00035332284071563935
95,600031,0.00032120258246876303
96,600099,6.424051649375261e-05
97,600151,0.0005781646484437734
98,600171,0.0029871840169594962
99,600178,0.00032120258246876303
100,600206,0.00019272154948125783
101,600288,6.424051649375261e-05
102,600320,0.009443355924581634
103,600438,0.0013811711046156812
104,600460,0.002601740917996981
105,600475,0.002023576269553207
106,600487,0.005075000803006456
107,600560,0.001252690071628176
108,600587,0.0032120258246876305
109,600588,0.003340506857675136
110,600590,0.0023447788520219704
111,600761,0.007805222753990942
112,600806,0.00035332284071563935
113,600808,0.020846047602222723
114,600815,0.00016060129123438152
115,600841,0.00012848103298750523
116,600853,6.424051649375261e-05
117,600862,6.424051649375261e-05
118,600875,3.212025824687631e-05
119,600877,9.636077474062892e-05
120,600879,0.00012848103298750523
121,600893,0.014389875694600585
122,601012,0.0013490508463688048
123,601558,9.636077474062892e-05
124,601727,0.009539716699322262
125,603005,0.0022484180772813413
126,603011,0.0009314874891594129
127,603015,0.0005781646484437734
128,603023,3.212025824687631e-05
129,603025,0.0005139241319500209
130,603100,0.0025696206597501043
131,603109,0.00022484180772813414
132,603158,0.0002890823242218867
133,603160,0.024700478591847878
134,603178,0.0005139241319500209
135,603185,0.00019272154948125783
136,603203,0.0008993672309125366
137,603218,0.00016060129123438152
138,603286,0.000835126714418784
139,603298,0.003276266341181383
140,603338,0.0007708861979250313
141,603501,0.00019272154948125783
142,603586,0.0011884495551344233
143,603656,0.003051424533453249
144,603766,0.002409019368515723
145,603819,0.0011563292968875469
146,603893,0.004818038737031446
147,603966,0.001670253428837568
148,603986,0.004111393055600167
149,688002,0.0015096521376031862
150,688008,0.00016060129123438152
151,688090,0.0005781646484437734
152,688123,0.0002890823242218867
153,688165,0.0005460443901968972
154,688365,9.636077474062892e-05
155,688368,0.0010920887803937945
