,Symbol,Patents_person
0,63,0.030028829960323123
1,157,0.008466554480437526
2,338,0.018848979964401442
3,410,0.0003766478342749529
4,528,0.00909618734275208
5,550,0.012645388152556126
6,570,0.0019933554817275745
7,584,0.0019743336623889436
8,725,0.08790008766937878
9,816,0.02564102564102564
10,837,0.0005498130635583901
11,901,0.0001554001554001554
12,903,0.006525911708253359
13,913,0.0014985014985014985
14,2006,0.02190395956192081
15,2017,0.03256597417181359
16,2031,0.00797649034424853
17,2079,0.013040901007705987
18,2097,0.0036283007458173754
19,2115,0.018739352640545145
20,2121,0.016736401673640166
21,2156,0.003264240248082259
22,2176,0.00027533039647577095
23,2185,0.0004436775942814888
24,2196,0.0025850926324859974
25,2202,0.012498605066398839
26,2204,0.005954529050884157
27,2214,0.0049586776859504135
28,2230,0.0234517086244855
29,2236,0.037633621320837606
30,2241,0.011977655130764457
31,2255,0.015698587127158554
32,2273,0.001965338574236198
33,2279,0.0006234413965087282
34,2405,0.008091993185689948
35,2414,0.0037212449255751017
36,2459,0.0002256114069127335
37,2491,0.009011264080100126
38,2520,0.0016556291390728477
39,2527,0.011856091578086671
40,2534,0.004174397031539889
41,2594,0.008989587788125017
42,2685,0.002840909090909091
43,2698,0.01694915254237288
44,2747,0.013666072489601902
45,2829,0.006644518272425249
46,2833,0.0025041736227045075
47,300007,0.011890118901189012
48,300024,0.05330116253564378
49,300053,0.0106951871657754
50,300076,0.02072538860103627
51,300077,0.05466666666666667
52,300097,0.004581901489117984
53,300101,0.007481296758104738
54,300102,0.020857034508911642
55,300114,0.0069907848744836356
56,300115,0.004072942701101546
57,300118,0.001389854065323141
58,300124,0.004368758915834522
59,300139,0.01282051282051282
60,300153,0.017786561264822136
61,300183,0.009109311740890687
62,300193,0.008611410118406888
63,300213,0.02823529411764706
64,300223,0.10266159695817491
65,300259,0.01032346868547832
66,300293,0.0008532423208191126
67,300298,0.015226628895184136
68,300303,0.01911822083495903
69,300323,0.003189792663476874
70,300327,0.005509641873278237
71,300335,0.008960573476702509
72,300349,0.038461538461538464
73,300352,0.01263001485884101
74,300354,0.007547169811320755
75,300370,0.0056179775280898875
76,300410,0.02657423454650491
77,300458,0.0959349593495935
78,300466,0.006739679865206402
79,300490,0.010644589000591367
80,300503,0.055762081784386616
81,300543,0.003579952267303103
82,300607,0.052479815455594
83,300613,0.04979253112033195
84,300667,0.01174496644295302
85,300672,0.17716535433070865
86,300680,0.019969278033794162
87,300701,0.01818181818181818
88,300708,0.003780718336483932
89,300757,0.08349900596421471
90,300772,0.02750190985485103
91,300782,0.03686635944700461
92,600027,3.66474878147103e-05
93,600031,5.4200542005420054e-05
94,600099,0.0017482517482517483
95,600151,0.004344391785150079
96,600171,0.06472491909385113
97,600178,0.001702127659574468
98,600206,0.004792332268370607
99,600288,0.000819672131147541
100,600320,0.014940811400988392
101,600438,0.0009731330653691559
102,600460,0.009422222222222222
103,600475,0.005117998294000569
104,600487,0.005511328842620943
105,600560,0.03722084367245657
106,600587,0.011015325670498084
107,600588,0.0017949163337386371
108,600590,0.012366884232222604
109,600761,0.03539941223617419
110,600808,0.011098821465349556
111,600815,0.00670690811535882
112,600841,0.0015772870662460567
113,600862,0.002785515320334262
114,600875,5.76036866359447e-05
115,600879,0.00019926934573231484
116,600893,0.004940655346697712
117,601012,0.0011863839625224349
118,601558,0.0008726003490401396
119,601727,0.005545670225385528
120,603005,0.021566401816118047
121,603011,0.015665796344647518
122,603015,0.003952569169960474
123,603023,0.00967741935483871
124,603025,0.0625
125,603100,0.004471890971039182
126,603109,0.008176100628930818
127,603158,0.0034310667498440423
128,603160,0.2563154651879236
129,603178,0.011929824561403509
130,603185,0.00375234521575985
131,603203,0.04702627939142462
132,603286,0.01909307875894988
133,603298,0.02559196364506099
134,603338,0.0035460992907801418
135,603501,0.0020942408376963353
136,603586,0.01297134238310709
137,603656,0.06607142857142857
138,603766,0.025177825448797563
139,603819,0.026113671274961597
140,603893,0.1031636863823934
141,603966,0.05520926090828139
142,603986,0.0351288056206089
143,688002,0.016260162601626018
144,688008,0.014970059880239521
145,688090,0.028455284552845527
146,688123,0.06
147,688368,0.10952380952380952
