,Symbol,Cooperate_Paper_ratio
0,600031,0.03368034292712799
1,2115,0.001224739742804654
2,603960,0.0010206164523372118
3,2058,0.00020412329046744235
4,2527,0.002449479485609308
5,600841,0.01918758930393958
6,601727,0.03449683608899776
7,300153,0.000612369871402327
8,600151,0.0014288630332720963
9,600171,0.004694835680751174
10,603501,0.00020412329046744235
11,600875,0.003061849357011635
12,63,0.17044294754031436
13,600893,0.001837109614206981
14,600890,0.000612369871402327
15,157,0.01490100020412329
16,300114,0.0010206164523372118
17,725,0.011226780975709328
18,300356,0.0004082465809348847
19,2279,0.0004082465809348847
20,300213,0.0004082465809348847
21,300352,0.0004082465809348847
22,2405,0.003674219228413962
23,300370,0.0010206164523372118
24,2829,0.0004082465809348847
25,600560,0.02204531537048377
26,988,0.0014288630332720963
27,600027,0.009389671361502348
28,300490,0.0008164931618697694
29,2747,0.000612369871402327
30,300102,0.0004082465809348847
31,600815,0.00694019187589304
32,603011,0.001837109614206981
33,600178,0.0038783425188814043
34,2698,0.0004082465809348847
35,603023,0.0004082465809348847
36,300077,0.002449479485609308
37,688165,0.0014288630332720963
38,600288,0.0032659726474790775
39,2204,0.013268013880383752
40,300097,0.002449479485609308
41,2185,0.0010206164523372118
42,2129,0.00020412329046744235
43,300076,0.0004082465809348847
44,600761,0.012859767299448868
45,300286,0.002449479485609308
46,600587,0.005103082261686058
47,603586,0.0004082465809348847
48,2097,0.021228822208614002
49,2031,0.0010206164523372118
50,570,0.02000408246580935
51,300607,0.0004082465809348847
52,300410,0.0020412329046744235
53,300503,0.0014288630332720963
54,688090,0.0010206164523372118
55,300335,0.001224739742804654
56,528,0.032659726474790776
57,300101,0.0004082465809348847
58,300259,0.00020412329046744235
59,877,0.0044907123902837316
60,2202,0.010002041232904674
61,300680,0.000612369871402327
62,603218,0.0016329863237395388
63,688055,0.00020412329046744235
64,903,0.02020820575627679
65,603298,0.004082465809348847
66,600460,0.0026536027760767503
67,603556,0.001224739742804654
68,2534,0.0010206164523372118
69,2241,0.001837109614206981
70,2414,0.0026536027760767503
71,2594,0.004898958971218616
72,300007,0.0004082465809348847
73,300354,0.0008164931618697694
74,600487,0.0014288630332720963
75,816,0.0010206164523372118
76,2077,0.0004082465809348847
77,603286,0.000612369871402327
78,2176,0.0004082465809348847
79,550,0.02714839763216983
80,600806,0.013268013880383752
81,300024,0.017962849561134926
82,410,0.011022657685241886
83,603966,0.00020412329046744235
84,600590,0.004082465809348847
85,688777,0.016125739946927946
86,2236,0.004694835680751174
87,2196,0.00020412329046744235
88,2520,0.00020412329046744235
89,2273,0.0004082465809348847
90,2006,0.00020412329046744235
91,300772,0.005511328842620943
92,913,0.0016329863237395388
93,300124,0.0004082465809348847
94,603160,0.00020412329046744235
95,2121,0.0008164931618697694
96,300672,0.00020412329046744235
97,338,0.053480302102469894
98,688008,0.00020412329046744235
99,300458,0.00020412329046744235
100,300053,0.001837109614206981
101,603893,0.00020412329046744235
102,600588,0.000612369871402327
103,2230,0.005919575423555827
104,837,0.003061849357011635
105,901,0.0026536027760767503
106,2255,0.0032659726474790775
107,600438,0.03817105531741172
108,2156,0.0016329863237395388
109,603100,0.010206164523372117
110,603766,0.0026536027760767503
111,300183,0.0004082465809348847
112,600808,0.19595835884874463
113,600853,0.0640947132067769
