,Symbol,RelatedParty_ratio
0,63.0,0.013422818791946308
1,157.0,0.01476510067114094
2,338.0,0.012080536912751677
3,528.0,0.020134228187919462
4,584.0,0.006711409395973154
5,670.0,0.004026845637583893
6,687.0,0.004026845637583893
7,725.0,0.004026845637583893
8,816.0,0.0026845637583892616
9,837.0,0.0026845637583892616
10,901.0,0.006711409395973154
11,913.0,0.0013422818791946308
12,988.0,0.006711409395973154
13,2017.0,0.005369127516778523
14,2031.0,0.01476510067114094
15,2049.0,0.004026845637583893
16,2077.0,0.0013422818791946308
17,2079.0,0.004026845637583893
18,2097.0,0.013422818791946308
19,2115.0,0.01476510067114094
20,2121.0,0.006711409395973154
21,2129.0,0.004026845637583893
22,2156.0,0.004026845637583893
23,2176.0,0.010738255033557046
24,2185.0,0.006711409395973154
25,2196.0,0.0013422818791946308
26,2202.0,0.032214765100671144
27,2204.0,0.006711409395973154
28,2230.0,0.004026845637583893
29,2236.0,0.06308724832214765
30,2241.0,0.016107382550335572
31,2255.0,0.0026845637583892616
32,2273.0,0.005369127516778523
33,2403.0,0.0026845637583892616
34,2405.0,0.010738255033557046
35,2414.0,0.0013422818791946308
36,2459.0,0.005369127516778523
37,2520.0,0.01879194630872483
38,2527.0,0.005369127516778523
39,2534.0,0.0013422818791946308
40,2594.0,0.010738255033557046
41,2685.0,0.0026845637583892616
42,2698.0,0.0013422818791946308
43,2747.0,0.016107382550335572
44,2833.0,0.008053691275167786
45,300024.0,0.0026845637583892616
46,300053.0,0.0026845637583892616
47,300077.0,0.005369127516778523
48,300114.0,0.0026845637583892616
49,300115.0,0.004026845637583893
50,300118.0,0.016107382550335572
51,300124.0,0.006711409395973154
52,300139.0,0.009395973154362415
53,300153.0,0.009395973154362415
54,300183.0,0.0013422818791946308
55,300184.0,0.005369127516778523
56,300193.0,0.0026845637583892616
57,300223.0,0.0013422818791946308
58,300257.0,0.008053691275167786
59,300259.0,0.0013422818791946308
60,300293.0,0.0013422818791946308
61,300298.0,0.006711409395973154
62,300303.0,0.0026845637583892616
63,300323.0,0.006711409395973154
64,300327.0,0.0026845637583892616
65,300349.0,0.0013422818791946308
66,300352.0,0.0026845637583892616
67,300354.0,0.0013422818791946308
68,300370.0,0.005369127516778523
69,300410.0,0.0013422818791946308
70,300458.0,0.0026845637583892616
71,300466.0,0.0013422818791946308
72,300490.0,0.0013422818791946308
73,300493.0,0.009395973154362415
74,300503.0,0.0013422818791946308
75,300607.0,0.0013422818791946308
76,300613.0,0.0013422818791946308
77,300672.0,0.004026845637583893
78,300680.0,0.0013422818791946308
79,300757.0,0.0013422818791946308
80,600031.0,0.013422818791946308
81,600151.0,0.020134228187919462
82,600171.0,0.0013422818791946308
83,600206.0,0.0026845637583892616
84,600288.0,0.0026845637583892616
85,600320.0,0.05100671140939597
86,600392.0,0.008053691275167786
87,600438.0,0.0013422818791946308
88,600460.0,0.005369127516778523
89,600487.0,0.022818791946308724
90,600537.0,0.0013422818791946308
91,600545.0,0.028187919463087248
92,600587.0,0.0026845637583892616
93,600588.0,0.0013422818791946308
94,600590.0,0.008053691275167786
95,600699.0,0.1395973154362416
96,600761.0,0.0026845637583892616
97,600808.0,0.008053691275167786
98,600815.0,0.008053691275167786
99,600853.0,0.006711409395973154
100,600862.0,0.0013422818791946308
101,600875.0,0.005369127516778523
102,600877.0,0.005369127516778523
103,601012.0,0.012080536912751677
104,601558.0,0.010738255033557046
105,601727.0,0.006711409395973154
106,603005.0,0.0013422818791946308
107,603015.0,0.01476510067114094
108,603100.0,0.0013422818791946308
109,603158.0,0.0013422818791946308
110,603160.0,0.005369127516778523
111,603178.0,0.0026845637583892616
112,603203.0,0.0013422818791946308
113,603298.0,0.004026845637583893
114,603338.0,0.004026845637583893
115,603501.0,0.009395973154362415
116,603556.0,0.026845637583892617
117,603586.0,0.0026845637583892616
118,603766.0,0.004026845637583893
119,603966.0,0.008053691275167786
120,603986.0,0.006711409395973154
