,Symbol,ODFI_Cooperate_project_ratio
0,2115,0.0026109660574412533
1,300298,0.018276762402088774
2,600320,0.0391644908616188
3,2527,0.010443864229765013
4,300493,0.0026109660574412533
5,601727,0.04699738903394256
6,300153,0.005221932114882507
7,600151,0.005221932114882507
8,2017,0.0026109660574412533
9,300118,0.04699738903394256
10,600875,0.018276762402088774
11,688256,0.0026109660574412533
12,157,0.02610966057441253
13,300114,0.0026109660574412533
14,725,0.031331592689295036
15,300352,0.0026109660574412533
16,2405,0.02349869451697128
17,300370,0.005221932114882507
18,300139,0.010443864229765013
19,688111,0.007832898172323759
20,605100,0.005221932114882507
21,300490,0.005221932114882507
22,687,0.0026109660574412533
23,601558,0.005221932114882507
24,300857,0.0026109660574412533
25,2747,0.02349869451697128
26,300077,0.0026109660574412533
27,688165,0.010443864229765013
28,2204,0.0026109660574412533
29,2185,0.0026109660574412533
30,300076,0.0026109660574412533
31,603178,0.0026109660574412533
32,600699,0.015665796344647518
33,603015,0.0026109660574412533
34,600761,0.005221932114882507
35,603586,0.0026109660574412533
36,2097,0.013054830287206266
37,2031,0.020887728459530026
38,603158,0.007832898172323759
39,300607,0.0026109660574412533
40,300503,0.007832898172323759
41,2833,0.005221932114882507
42,528,0.020887728459530026
43,603203,0.005221932114882507
44,300259,0.0026109660574412533
45,2202,0.02610966057441253
46,600475,0.0026109660574412533
47,688055,0.0026109660574412533
48,600206,0.0026109660574412533
49,603298,0.010443864229765013
50,688365,0.005221932114882507
51,603556,0.020887728459530026
52,300701,0.0026109660574412533
53,2241,0.013054830287206266
54,300184,0.0026109660574412533
55,2414,0.0026109660574412533
56,300007,0.0026109660574412533
57,600487,0.03655352480417755
58,816,0.010443864229765013
59,300782,0.005221932114882507
60,603286,0.005221932114882507
61,2176,0.0026109660574412533
62,300024,0.010443864229765013
63,300293,0.0026109660574412533
64,603966,0.005221932114882507
65,600590,0.005221932114882507
66,688777,0.010443864229765013
67,2236,0.015665796344647518
68,300257,0.05221932114882506
69,2196,0.005221932114882507
70,2520,0.007832898172323759
71,2273,0.010443864229765013
72,300772,0.0026109660574412533
73,603338,0.010443864229765013
74,300193,0.0026109660574412533
75,300543,0.005221932114882507
76,300909,0.0026109660574412533
77,603160,0.015665796344647518
78,2121,0.0026109660574412533
79,300303,0.0026109660574412533
80,300672,0.007832898172323759
81,338,0.03655352480417755
82,688008,0.005221932114882507
83,2403,0.005221932114882507
84,300053,0.005221932114882507
85,600588,0.007832898172323759
86,2230,0.010443864229765013
87,837,0.007832898172323759
88,300603,0.0026109660574412533
89,300757,0.0026109660574412533
90,901,0.010443864229765013
91,600438,0.020887728459530026
92,601012,0.013054830287206266
93,603766,0.005221932114882507
94,600808,0.007832898172323759
95,600853,0.0391644908616188
